Date,Startup Name,Vertical,Sub Vertical,City,Investor,Round,Amount in Rs.,Month,Year
2020-01-09,byju’s,e-tech,e-learning,bengaluru,"general atlantic, prosus, peak xv, sofina, chan zuckerberg initiative, and verlinvest",Private Equity Round,3340.0,1.0,2020.0
2020-01-13,shuttl,transportation,app based shuttle service,gurgaon,susquehanna growth equity,Series C,83.9,1.0,2020.0
2020-01-09,mamaearth,e-commerce,retailer of baby and toddler products,bengaluru,sequoia capital india,Series B,320.3,1.0,2020.0
2020-01-02,wealthbucket,fintech,online investment,new delhi,vinod khatumal,Pre-series A,25.05,1.0,2020.0
2020-01-02,fashor,fashion and apparel,embroiled clothes for women,mumbai,sprout venture partners,Seed Round,15.03,1.0,2020.0
2020-01-13,pando,logistics,"open-market, freight management platform",chennai,chiratae ventures,Series A,75.15,1.0,2020.0
2020-01-10,zomato,hospitality,online food delivery platform,gurgaon,ant financial,Private Equity Round,1252.5,1.0,2020.0
2019-12-12,ecozen,technology,agritech,pune,sathguru catalyzer advisors,Series A,50.1,12.0,2019.0
2019-12-06,cardekho,e-commerce,automobile,gurgaon,ping an global voyager fund,Series D,584.5,12.0,2019.0
2019-12-03,dhruva space,aerospace,satellite communication,bengaluru,"mumbai angels, ravikanth reddy",Seed,417.5,12.0,2019.0
2019-12-17,healthians,b2b-focused foodtech startup,food solutions for corporate,bengaluru,"paytm, nptk, sabre partners and neoplux",Series C,100.2,12.0,2019.0
2019-12-16,licious,e-commerce,online meat and seafood ordering startup,bengaluru,vertex growth fund,Series E,250.5,12.0,2019.0
2019-12-16,incred,finance,non-banking financial company,mumbai,,Debt Funding,49.27,12.0,2019.0
2019-12-11,rein games,gaming,real money based gaming startup,noida,manipal education and medical group (memg),Seed Round,417.5,12.0,2019.0
2019-12-20,lenskart,e-commerce,online eyewear shopping portal,faridabad,softbank vision fund,Series G,258.85,12.0,2019.0
2019-11-13,freshworks,software,business and customer engagement tools,san francisco,"sequoia, capitalg, accel",Series H,1252.5,11.0,2019.0
2019-11-14,misters,health and wellness,men's health and wellness brand,gurgaon,"sauce.vc, rainforest ventures",Series B,4.06,11.0,2019.0
